name,category,tags,calories,price,canteen
酸辣汤,汤羹,酸;辣;汤羹,116,5.9,学一食堂
土豆牛腩,热菜,咸;荤;家常;辣,688,29.8,学三食堂
皮蛋瘦肉粥,汤羹,清淡;荤;汤羹;早餐,262,6.6,学二食堂
扬州炒饭,主食,荤;咸;主食,511,17.0,学四食堂
紫菜蛋花汤,汤羹,清淡;素;汤羹,85,3.9,学三食堂
酸辣汤,汤羹,酸;辣;汤羹;重油,116,6.0,学二食堂
皮蛋瘦肉粥,汤羹,清淡;荤;汤羹;辣,254,6.2,学四食堂
煎饼果子,小吃,素;咸;小吃,411,10.0,学一食堂
京酱肉丝,热菜,甜;荤;家常,525,23.0,学四食堂
宫保鸡丁,热菜,辣;荤;高蛋白,500,17.0,学四食堂
紫菜蛋花汤,汤羹,清淡;素;汤羹,76,3.9,学四食堂
扬州炒饭,主食,荤;咸;主食,476,14.9,学一食堂
香菇滑鸡,热菜,清淡;荤;低脂,474,19.2,学一食堂
鱼香肉丝,热菜,辣;荤;甜;海鲜,552,18.9,学三食堂
酸菜鱼,热菜,酸;辣;海鲜,730,41.1,学四食堂
馒头,主食,主食;清淡,154,1.0,学二食堂
拍黄瓜,凉菜,清淡;素;凉菜;咸,105,9.0,学一食堂
烤冷面,小吃,酸;甜;辣;特色,458,13.4,学三食堂
鱼香肉丝,热菜,辣;荤;甜,525,17.7,学三食堂
口水鸡,凉菜,辣;荤;凉菜,540,32.6,学一食堂
葱爆羊肉,热菜,荤;咸;高蛋白,610,36.0,学四食堂
酸菜鱼,热菜,酸;辣;海鲜,734,38.9,学四食堂
水饺,主食,主食;荤;特色,415,15.1,学二食堂
干煸四季豆,热菜,辣;素;咸,296,13.3,学二食堂
夫妻肺片,凉菜,辣;荤;凉菜,587,38.3,学三食堂
京酱肉丝,热菜,甜;荤;家常,590,25.1,学四食堂
煎饼果子,小吃,素;咸;小吃;甜,407,10.9,学二食堂
麻辣烫,小吃,辣;重油;汤羹,561,19.3,学四食堂
酸辣汤,汤羹,酸;辣;汤羹,109,5.3,学一食堂
黄焖鸡米饭,热菜,荤;咸;家常;夜宵,657,18.6,学四食堂
酸菜鱼,热菜,酸;辣;海鲜,698,37.1,学二食堂
口水鸡,凉菜,辣;荤;凉菜,473,29.3,学三食堂
干煸四季豆,热菜,辣;素;咸,305,14.5,学四食堂
兰州拉面,主食,主食;汤羹;清淡,366,12.0,学一食堂
兰州拉面,主食,主食;汤羹;清淡,386,12.8,学二食堂
夫妻肺片,凉菜,辣;荤;凉菜,585,33.4,学三食堂
西红柿鸡蛋面,主食,清淡;素;主食,341,12.0,学四食堂
酸菜鱼,热菜,酸;辣;海鲜,710,41.8,学一食堂
热干面,主食,咸;辣;主食,415,9.2,学二食堂
红烧肉,热菜,荤;重油;甜,742,23.7,学四食堂
水饺,主食,主食;荤,413,14.3,学一食堂
传统·麻辣烫,小吃,辣;重油;汤羹,559,19.6,学一食堂
秘制·炸酱面,主食,主食;咸;低脂,457,12.8,学一食堂
招牌·鱼香肉丝,热菜,辣;荤;甜;家常,570,16.9,学三食堂
招牌·米饭,主食,主食;清淡,214,2.3,学三食堂
特色·烤冷面,小吃,酸;甜;辣;微辣,464,12.3,学三食堂
特色·酸辣汤,汤羹,酸;辣;汤羹,118,5.3,学一食堂
